location	date	leadtime	lat	lon	alt	fcst2	fcst3	fcst	obs	elaf	deltaT	lafNN
17090	20151204	12.0	59.3503	10.897	50.0	5.361725	5.4564514	5.361725	5.6	0.0	-0.0947265625	1.0
17090	20151205	12.0	59.3503	10.897	50.0	8.838043	8.580719	8.838043	10.2	1.0	0.25732421875	1.0
17090	20151206	12.0	59.3503	10.897	50.0	8.501373	8.523834	8.501373	8.5	1.0	-0.0224609375	1.0
17090	20151207	12.0	59.3503	10.897	50.0	4.2235413	5.392975	4.2235413	6.7	0.0	-1.16943359375	1.0
17090	20151208	12.0	59.3503	10.897	50.0	6.967926	7.025055	6.967926	8.0	0.0	-0.05712890625	1.0
17090	20151209	12.0	59.3503	10.897	50.0	5.6648254	6.1350403	5.6648254	6.8	0.0	-0.47021484375	1.0
17090	20151210	12.0	59.3503	10.897	50.0	8.578217	8.573822	8.578217	9.1	1.0	0.00439453125	1.0
17090	20151211	12.0	59.3503	10.897	50.0	3.5403137	4.127228	3.5403137	3.3	1.0	-0.5869140625	1.0
17090	20151212	12.0	59.3503	10.897	50.0	0.033355713	1.0499573	0.033355713	2.8	0.0	-1.0166015625	1.0
17090	20151213	12.0	59.3503	10.897	50.0	-2.07193	-1.5816956	-2.07193	0.8	0.0	-0.490234375	1.0
17090	20151214	12.0	59.3503	10.897	50.0	-1.8675842	-1.794342	-1.8675842	-3.8	1.0	-0.0732421875	1.0
17090	20151215	12.0	59.3503	10.897	50.0	-5.3399353	-4.626068	-5.3399353	-5.0	0.52	-0.7138671875	1.0
17090	20151216	12.0	59.3503	10.897	50.0	1.1301575	1.2444153	1.1301575	1.0	1.0	-0.1142578125	1.0
17090	20151217	12.0	59.3503	10.897	50.0	1.7773743	1.6152649	1.7773743	3.6	1.0	0.162109375	1.0
17090	20151218	12.0	59.3503	10.897	50.0	7.598633	7.154297	7.598633	8.2	1.0	0.4443359375	1.0
17090	20151219	12.0	59.3503	10.897	50.0	7.8829956	7.6447144	7.8829956	8.5	1.0	0.23828125	1.0
17090	20151220	12.0	59.3503	10.897	50.0	9.076691	9.002472	9.076691	9.9	1.0	0.07421875	1.0
17090	20151221	12.0	59.3503	10.897	50.0	7.675415	7.7320557	7.675415	8.3	0.0	-0.056640625	1.0
17090	20151222	12.0	59.3503	10.897	50.0	7.025116	7.2848816	7.025116	7.4	0.0	-0.259765625	1.0
17090	20151223	12.0	59.3503	10.897	50.0	7.1950684	7.3532715	7.1950684	7.6	0.0	-0.158203125	1.0
17090	20151224	12.0	59.3503	10.897	50.0	7.261963	7.3146973	7.261963	7.9	0.0	-0.052734375	1.0
17090	20151225	12.0	59.3503	10.897	50.0	5.1266174	5.2779846	5.1266174	5.6	0.0	-0.1513671875	1.0
17090	20151226	12.0	59.3503	10.897	50.0	-0.29833984	0.30419922	-0.29833984	-2.9	1.0	-0.6025390625	1.0
17090	20151227	12.0	59.3503	10.897	50.0	-2.1174622	-1.771759	-2.1174622	-2.2	1.0	-0.345703125	1.0
17090	20151228	12.0	59.3503	10.897	50.0	-1.238678	-2.013092	-1.238678	-0.3	1.0	0.7744140625	1.0
17090	20151229	12.0	59.3503	10.897	50.0	-1.70755	-1.3462219	-1.70755	-0.9	0.0	-0.361328125	1.0
17090	20151230	12.0	59.3503	10.897	50.0	1.538971	1.4735413	1.538971	2.7	1.0	0.0654296875	1.0
17090	20151231	12.0	59.3503	10.897	50.0	-0.18295288	0.2340393	-0.18295288	1.7	0.0	-0.4169921875	1.0
17150	20141201	12.0	59.3742	10.798	40.0	-1.118927	0.098846436	-0.9724426	0.0	0.08	-1.2177734375	0.88
17150	20141202	12.0	59.3742	10.798	40.0	0.14672852	1.4836426	0.07836914	1.1	0.29	-1.3369140625	1.0
17150	20141203	12.0	59.3742	10.798	40.0	1.440094	3.414215	0.78189087	1.0	1.0	-1.97412109375	1.0
17150	20141204	12.0	59.3742	10.798	40.0	2.2259827	3.521881	2.3334045	1.6	1.0	-1.2958984375	0.92
17150	20141205	12.0	59.3742	10.798	40.0	0.6072693	1.0452576	0.731781	0.2	1.0	-0.43798828125	0.72
17150	20141206	12.0	59.3742	10.798	40.0	-1.6863403	-1.3709106	-1.642395	0.7	0.0	-0.3154296875	0.86
17150	20141207	12.0	59.3742	10.798	40.0	7.3190002	6.7604065	7.414215	7.6	1.0	0.55859375	1.0
17150	20141208	12.0	59.3742	10.798	40.0	1.4815369	2.374115	1.6919861	3.7	0.0	-0.892578125	0.76
17150	20141209	12.0	59.3742	10.798	40.0	-2.1452942	1.4836121	-1.9724426	0.0	0.41	-3.62890625	0.95
17150	20141210	12.0	59.3742	10.798	40.0	4.1230774	4.9531555	4.191925	4.7	0.3	-0.830078125	0.92
17150	20141211	12.0	59.3742	10.798	40.0	4.079376	4.62088	4.066681	2.9	1.0	-0.54150390625	1.0
17150	20141212	12.0	59.3742	10.798	40.0	3.2987976	4.2885437	3.6576843	4.5	0.0	-0.98974609375	0.64
17150	20141213	12.0	59.3742	10.798	40.0	0.59506226	2.0335388	0.68588257	1.5	0.37	-1.4384765625	0.94
17150	20141214	12.0	59.3742	10.798	40.0	5.332428	6.2416077	5.18985	5.5	0.82	-0.9091796875	1.0
17150	20141215	12.0	59.3742	10.798	40.0	4.1979675	4.919159	4.210663	5.0	0.0	-0.72119140625	0.98
17150	20141216	12.0	59.3742	10.798	40.0	1.4273071	2.461975	1.5776978	2.7	0.0	-1.03466796875	0.85
17150	20141217	12.0	59.3742	10.798	40.0	-3.888092	-1.6253967	-3.5609436	-3.7	0.92	-2.2626953125	0.86
17150	20141218	12.0	59.3742	10.798	40.0	0.7972717	2.5658264	0.7621155	1.4	0.66	-1.7685546875	1.0
17150	20141219	12.0	59.3742	10.798	40.0	2.409027	3.7723083	2.5613708	3.1	0.49	-1.36328125	0.89
17150	20141220	12.0	59.3742	10.798	40.0	-0.2314148	1.335968	-0.12399292	1.0	0.21	-1.5673828125	0.93
17150	20151201	12.0	59.3742	10.798	40.0	2.747467	4.8924866	2.9569397	6.0	0.0	-2.14501953125	0.9
17150	20151202	12.0	59.3742	10.798	40.0	6.284912	7.7766113	4.776123	4.3	1.0	-1.49169921875	1.0
17150	20151203	12.0	59.3742	10.798	40.0	3.5426025	4.795044	3.70813	5.1	0.0	-1.25244140625	0.87
17150	20151204	12.0	59.3742	10.798	40.0	5.5951233	7.3211975	5.5257874	5.1	1.0	-1.72607421875	1.0
17150	20151205	12.0	59.3742	10.798	40.0	8.641754	8.088043	8.75943	10.0	1.0	0.5537109375	1.0
17150	20151206	12.0	59.3742	10.798	40.0	8.25528	8.145416	8.404694	9.0	1.0	0.10986328125	1.0
17150	20151207	12.0	59.3742	10.798	40.0	4.5726624	5.4847717	4.8563538	6.4	0.0	-0.912109375	0.69
17150	20151208	12.0	59.3742	10.798	40.0	7.339508	7.7154846	7.2521057	8.2	0.0	-0.3759765625	1.0
17150	20151209	12.0	59.3742	10.798	40.0	5.733673	6.5715637	5.767853	7.2	0.0	-0.837890625	0.96
17150	20151210	12.0	59.3742	10.798	40.0	8.464935	8.456146	8.477631	9.0	1.0	0.0087890625	1.0
17150	20151211	12.0	59.3742	10.798	40.0	3.6179504	4.429962	3.8034973	3.5	1.0	-0.81201171875	0.77
17150	20151212	12.0	59.3742	10.798	40.0	0.57144165	3.1339417	0.9161682	3.3	0.0	-2.5625	0.87
17150	20151213	12.0	59.3742	10.798	40.0	-1.7701721	-0.2418518	-1.6578674	0.0	0.0	-1.5283203125	0.93
17150	20151214	12.0	59.3742	10.798	40.0	-2.3597717	-1.1908264	-2.104889	-4.7	1.0	-1.1689453125	0.78
17150	20151215	12.0	59.3742	10.798	40.0	-5.811615	-3.755951	-5.521576	-5.2	0.7	-2.0556640625	0.86
17150	20151216	12.0	59.3742	10.798	40.0	1.3235168	2.405548	1.2707825	-1.0	1.0	-1.08203125	1.0
17150	20151217	12.0	59.3742	10.798	40.0	1.601593	3.188507	1.5488586	3.2	0.0	-1.5869140625	1.0
17150	20151218	12.0	59.3742	10.798	40.0	7.463867	7.0195312	7.524414	7.9	1.0	0.4443359375	1.0
17150	20151219	12.0	59.3742	10.798	40.0	7.4816284	6.283386	7.732605	8.3	1.0	1.1982421875	1.0
17150	20151220	12.0	59.3742	10.798	40.0	8.761261	7.8677063	9.055206	9.4	1.0	0.8935546875	1.0
17150	20151221	12.0	59.3742	10.798	40.0	7.59729	7.423462	7.6539307	8.4	1.0	0.173828125	1.0
17150	20151222	12.0	59.3742	10.798	40.0	7.170624	7.8161316	7.188202	7.4	0.64	-0.6455078125	0.97
17150	20151223	12.0	59.3742	10.798	40.0	7.1950684	7.5769043	7.256592	7.3	0.73	-0.3818359375	0.84
